year,month,day,trt,tariff,stimulus,kwh_mean,kwh_sd,n
2010,1,5,1,B,3,15.13419712,10.04626007,104
2010,1,6,1,B,3,16.01677404,10.97569364,104
2010,1,7,1,B,3,16.04913942,10.61789292,104
2010,1,8,1,B,3,15.61849519,10.30421666,104
2010,1,9,1,B,3,16.37724038,11.88639987,104
2010,1,10,1,B,3,17.04578365,12.58509116,104
2010,1,11,1,B,3,16.30370192,12.16065989,104
2010,1,12,1,B,3,15.45367308,10.32023383,104
2010,1,13,1,B,3,14.41806731,9.927549875,104
2010,1,14,1,B,3,14.31427404,9.880938882,104
2010,1,15,1,B,3,14.08962019,9.202136199,104
2010,1,16,1,B,3,14.72600962,9.816584233,104
2010,1,17,1,B,3,14.751,9.773187713,104
2010,1,18,1,B,3,13.40523558,8.19495565,104
2010,1,19,1,B,3,12.94109615,8.789876379,104
2010,1,20,1,B,3,12.98259135,8.370893802,104
2010,1,21,1,B,3,13.32247596,9.457298263,104
2010,1,22,1,B,3,12.29072115,8.381842233,104
2010,1,23,1,B,3,13.82219231,9.427083883,104
2010,1,24,1,B,3,14.53895192,9.835755988,104
2010,1,25,1,B,3,13.44734135,9.674863043,104
2010,1,26,1,B,3,13.28193269,9.494019683,104
2010,1,27,1,B,3,13.13913462,9.055015588,104
2010,1,28,1,B,3,12.90211058,9.054663152,104
2010,1,29,1,B,3,13.16587019,9.102747452,104
2010,1,30,1,B,3,14.63952404,10.56210934,104
2010,1,31,1,B,3,14.96394712,9.704948871,104
2010,2,1,1,B,3,13.24003365,8.051384726,104
2010,2,2,1,B,3,13.0805625,8.411279141,104
2010,2,3,1,B,3,12.82788462,8.532017399,104
2010,2,4,1,B,3,13.17854327,8.351102846,104
2010,2,5,1,B,3,12.93747115,7.851918514,104
2010,2,6,1,B,3,14.54030288,10.79681313,104
2010,2,7,1,B,3,14.72105769,10.61527642,104
2010,2,8,1,B,3,12.8194375,7.780974461,104
2010,2,9,1,B,3,12.414875,7.419999819,104
2010,2,10,1,B,3,12.49294712,7.331980534,104
2010,2,11,1,B,3,12.50360577,8.75838176,104
2010,2,12,1,B,3,12.48986538,7.922348334,104
2010,2,13,1,B,3,13.72247596,9.892855003,104
2010,2,14,1,B,3,14.21612019,9.32181296,104
2010,2,15,1,B,3,13.21586058,8.760483501,104
2010,2,16,1,B,3,13.67058654,10.42343377,104
2010,2,17,1,B,3,12.69254808,7.86527722,104
2010,2,18,1,B,3,13.01020192,8.548886905,104
