,ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
282,2009-01-06 21:00:00+00:00,1/6/09,2009,1,6,21,0,GMT,43,6
283,2009-01-06 21:30:00+00:00,1/6/09,2009,1,6,21,30,GMT,44,6
284,2009-01-06 22:00:00+00:00,1/6/09,2009,1,6,22,0,GMT,45,6
285,2009-01-06 22:30:00+00:00,1/6/09,2009,1,6,22,30,GMT,46,6
286,2009-01-06 23:00:00+00:00,1/6/09,2009,1,6,23,0,GMT,47,6
287,2009-01-06 23:30:00+00:00,1/6/09,2009,1,6,23,30,GMT,48,6
288,2009-01-07 00:00:00+00:00,1/7/09,2009,1,7,0,0,GMT,1,7
289,2009-01-07 00:30:00+00:00,1/7/09,2009,1,7,0,30,GMT,2,7
290,2009-01-07 01:00:00+00:00,1/7/09,2009,1,7,1,0,GMT,3,7
291,2009-01-07 01:30:00+00:00,1/7/09,2009,1,7,1,30,GMT,4,7
292,2009-01-07 02:00:00+00:00,1/7/09,2009,1,7,2,0,GMT,5,7
293,2009-01-07 02:30:00+00:00,1/7/09,2009,1,7,2,30,GMT,6,7
294,2009-01-07 03:00:00+00:00,1/7/09,2009,1,7,3,0,GMT,7,7
295,2009-01-07 03:30:00+00:00,1/7/09,2009,1,7,3,30,GMT,8,7
296,2009-01-07 04:00:00+00:00,1/7/09,2009,1,7,4,0,GMT,9,7
297,2009-01-07 04:30:00+00:00,1/7/09,2009,1,7,4,30,GMT,10,7
298,2009-01-07 05:00:00+00:00,1/7/09,2009,1,7,5,0,GMT,11,7
299,2009-01-07 05:30:00+00:00,1/7/09,2009,1,7,5,30,GMT,12,7
300,2009-01-07 06:00:00+00:00,1/7/09,2009,1,7,6,0,GMT,13,7
301,2009-01-07 06:30:00+00:00,1/7/09,2009,1,7,6,30,GMT,14,7
302,2009-01-07 07:00:00+00:00,1/7/09,2009,1,7,7,0,GMT,15,7
303,2009-01-07 07:30:00+00:00,1/7/09,2009,1,7,7,30,GMT,16,7
304,2009-01-07 08:00:00+00:00,1/7/09,2009,1,7,8,0,GMT,17,7
305,2009-01-07 08:30:00+00:00,1/7/09,2009,1,7,8,30,GMT,18,7
306,2009-01-07 09:00:00+00:00,1/7/09,2009,1,7,9,0,GMT,19,7
307,2009-01-07 09:30:00+00:00,1/7/09,2009,1,7,9,30,GMT,20,7
308,2009-01-07 10:00:00+00:00,1/7/09,2009,1,7,10,0,GMT,21,7
309,2009-01-07 10:30:00+00:00,1/7/09,2009,1,7,10,30,GMT,22,7
310,2009-01-07 11:00:00+00:00,1/7/09,2009,1,7,11,0,GMT,23,7
311,2009-01-07 11:30:00+00:00,1/7/09,2009,1,7,11,30,GMT,24,7
312,2009-01-07 12:00:00+00:00,1/7/09,2009,1,7,12,0,GMT,25,7
313,2009-01-07 12:30:00+00:00,1/7/09,2009,1,7,12,30,GMT,26,7
314,2009-01-07 13:00:00+00:00,1/7/09,2009,1,7,13,0,GMT,27,7
